address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
461 Central Park W APT 6L,New York,NY,10025,2595/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/461-Central-Park-W-APT-6L-New-York-NY-10025/2109392773_zpid/
4 W 104th St APT 1B,New York,NY,10025,2990/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/4-W-104th-St-APT-1B-New-York-NY-10025/2091637674_zpid/
111 W 96th St APT 4,New York,NY,10025,3750/000000,NA,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/111-W-96th-St-APT-4-New-York-NY-10025/2091637696_zpid/
545 W 111th St APT 3I,New York,NY,10025,4500/000000,1250.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/545-W-111th-St-APT-3I-New-York-NY-10025/72534750_zpid/
NA,NA,NA,NA,12250,NA,NA,NA,NA,For Rent,NA
204 W 96th St # 4DD,New York,NY,10025,2300/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/204-W-96th-St-4DD-New-York-NY-10025/2097992293_zpid/
698 W End Ave,New York,NY,10025,4400/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/698-W-End-Ave-New-York-NY-10025/2106715937_zpid/
250 W 104th St APT 92A,New York,NY,10025,6500/000000,1401.0,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/250-W-104th-St-APT-92A-New-York-NY-10025/2101433351_zpid/
652 Amsterdam Ave APT 4B,New York,NY,10025,2349/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/652-Amsterdam-Ave-APT-4B-New-York-NY-10025/2112466125_zpid/
310 W 109th St APT 7,New York,NY,10025,2400/000000,650.0,1.0,1.0,NA,Townhouse For Rent,http://www.zillow.com/homes/for_sale//homedetails/310-W-109th-St-APT-7-New-York-NY-10025/2108808052_zpid/
203 W 94th St APT 2A,New York,NY,10025,4695/000000,NA,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/203-W-94th-St-APT-2A-New-York-NY-10025/2091650385_zpid/
15 W 107th St APT 41R,New York,NY,10025,5250/000000,NA,6.0,3.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/15-W-107th-St-APT-41R-New-York-NY-10025/2091651508_zpid/
216 W 102nd St APT 7G,New York,NY,10025,2275/000000,600.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/216-W-102nd-St-APT-7G-New-York-NY-10025/2111541434_zpid/
238 W 106th St APT 5C,New York,NY,10025,3200/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/238-W-106th-St-APT-5C-New-York-NY-10025/82817230_zpid/
300 W 108th St APT 11C,New York,NY,10025,6000/000000,1500.0,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/300-W-108th-St-APT-11C-New-York-NY-10025/2104800873_zpid/
305 Riverside Dr APT 8C,New York,NY,10025,3995/000000,1200.0,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/305-Riverside-Dr-APT-8C-New-York-NY-10025/2113304435_zpid/
305 Riverside Dr APT 8C,New York,NY,10025,3995/000000,1200.0,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/305-Riverside-Dr-APT-8C-New-York-NY-10025/2113304435_zpid/
324 W 96th St APT 3A,New York,NY,10025,3500/000000,1100.0,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/324-W-96th-St-APT-3A-New-York-NY-10025/2108736351_zpid/
NA,NA,NA,NA,1314537242,NA,NA,NA,NA,Windermere,NA
NA,NA,NA,NA,0175013175,NA,NA,NA,NA,For Rent,NA
648 Amsterdam Ave APT 3B,New York,NY,10025,2649/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/648-Amsterdam-Ave-APT-3B-New-York-NY-10025/2110441214_zpid/
646 Amsterdam Ave # 4E,New York,NY,10025,2249/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/646-Amsterdam-Ave-4E-New-York-NY-10025/2091659845_zpid/
825 W End Ave # 11-D,New York,NY,10025,7500/000000,1680.0,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/825-W-End-Ave-11-D-New-York-NY-10025/31551497_zpid/
26 W 97th St # A,New York,NY,10025,2750/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/26-W-97th-St-A-New-York-NY-10025/2094179497_zpid/
600 W 111th St # 13C,New York,NY,10025,5620/000000,NA,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/600-W-111th-St-13C-New-York-NY-10025/2091671815_zpid/
308 W 109th St APT 8,New York,NY,10025,2300/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/308-W-109th-St-APT-8-New-York-NY-10025/2106304982_zpid/
325 W 93rd St APT 2B,New York,NY,10025,5861/000000,NA,3.0,2.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/325-W-93rd-St-APT-2B-New-York-NY-10025/2091673814_zpid/
NA,NA,NA,NA,1239523195,NA,NA,NA,NA,For Rent,NA
352 W 110th St APT 9C,New York,NY,10025,3500/000000,1000.0,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/352-W-110th-St-APT-9C-New-York-NY-10025/80005537_zpid/
246 W 108th St # 6A,New York,NY,10025,5000/000000,800.0,4.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/246-W-108th-St-6A-New-York-NY-10025/2091688927_zpid/
NA,NA,NA,NA,23095,NA,NA,NA,NA,For Rent,NA
473 Central Park W APT 3A,New York,NY,10025,2875/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/473-Central-Park-W-APT-3A-New-York-NY-10025/2119148871_zpid/
250 Riverside Dr APT 71,New York,NY,10025,6300/000000,NA,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/250-Riverside-Dr-APT-71-New-York-NY-10025/2103796955_zpid/
NA,NA,NA,NA,24600,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,1320037700,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,2299533995,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,0180012100,NA,NA,NA,NA,For Rent,NA
400 W 113th St # W1404,New York,NY,10025,3725/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/400-W-113th-St-W1404-New-York-NY-10025/2091727086_zpid/
304 W 104th St # 5B,New York,NY,10025,2250/000000,400.0,1.0,1.0,NA,Townhouse For Rent,http://www.zillow.com/homes/for_sale//homedetails/304-W-104th-St-5B-New-York-NY-10025/2091727307_zpid/
16 W 95th St APT 4B,New York,NY,10025,2550/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/16-W-95th-St-APT-4B-New-York-NY-10025/2091730403_zpid/
W End Ave,New York,NY,10025,4720/000000,NA,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/W-End-Ave-New-York-NY-10025/2091730877_zpid/
214 Riverside Dr APT 713,New York,NY,10025,2750/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/214-Riverside-Dr-APT-713-New-York-NY-10025/2092445997_zpid/
309 W 97th St APT 4S,New York,NY,10025,4295/000000,NA,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/309-W-97th-St-APT-4S-New-York-NY-10025/2110262537_zpid/
265 Riverside Dr APT 2D,New York,NY,10025,3295/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/265-Riverside-Dr-APT-2D-New-York-NY-10025/2116270503_zpid/
229 W 101st St,New York,NY,10025,2875/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/229-W-101st-St-New-York-NY-10025/2107183872_zpid/
NA,NA,NA,NA,0295023200,NA,NA,NA,NA,For Rent,NA
210 W 94th St APT 5B,New York,NY,10025,3100/000000,NA,1.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/210-W-94th-St-APT-5B-New-York-NY-10025/2091756036_zpid/
201 W 108th St APT 56,New York,NY,10025,2995/000000,1200.0,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/201-W-108th-St-APT-56-New-York-NY-10025/2110341902_zpid/
938 Amsterdam Ave APT 2R,New York,NY,10025,1895/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/938-Amsterdam-Ave-APT-2R-New-York-NY-10025/2093427620_zpid/
204 W 96th St APT 4C,New York,NY,10025,2200/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/204-W-96th-St-APT-4C-New-York-NY-10025/2109109997_zpid/
315 W 92nd St APT 1N,New York,NY,10025,2025/000000,NA,0.0,1.0,NA,Townhouse For Rent,http://www.zillow.com/homes/for_sale//homedetails/315-W-92nd-St-APT-1N-New-York-NY-10025/2092335561_zpid/
969 Columbus Ave APT 1A,New York,NY,10025,3595/000000,1000.0,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/969-Columbus-Ave-APT-1A-New-York-NY-10025/2126634489_zpid/
113 W 106th St APT 1A,New York,NY,10025,3095/000000,800.0,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/113-W-106th-St-APT-1A-New-York-NY-10025/2131436017_zpid/
NA,NA,NA,NA,2369557895,NA,NA,NA,NA,501 West 110th Street,NA
650 W End Ave # 1E,New York,NY,10025,2395/000000,310.0,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/650-W-End-Ave-1E-New-York-NY-10025/55501976_zpid/
2731 Broadway APT 3A,New York,NY,10025,1800/000000,425.0,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/2731-Broadway-APT-3A-New-York-NY-10025/2106433723_zpid/
207 W 106th St APT 6A,New York,NY,10025,3850/000000,NA,2.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/207-W-106th-St-APT-6A-New-York-NY-10025/2102157556_zpid/
63 W 107th St APT 51,New York,NY,10025,3300/000000,708.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/63-W-107th-St-APT-51-New-York-NY-10025/89334928_zpid/
Manhattan Ave,New York,NY,10025,5000/000000,NA,4.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/Manhattan-Ave-New-York-NY-10025/2107083172_zpid/
201 W 95th St APT 303,New York,NY,10025,1475/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/201-W-95th-St-APT-303-New-York-NY-10025/2091824071_zpid/
545 W 110th St APT 8B,New York,NY,10025,3650/000000,700.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/545-W-110th-St-APT-8B-New-York-NY-10025/80007903_zpid/
330 W 101st St APT 1A,New York,NY,10025,2550/000000,NA,1.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/330-W-101st-St-APT-1A-New-York-NY-10025/2100787748_zpid/
NA,NA,NA,NA,0240012999,NA,NA,NA,NA,For Rent,NA
722 Amsterdam Ave APT 2A,New York,NY,10025,2100/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/722-Amsterdam-Ave-APT-2A-New-York-NY-10025/2115529370_zpid/
2708 Broadway APT 16,New York,NY,10025,2100/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/2708-Broadway-APT-16-New-York-NY-10025/2126633329_zpid/
NA,NA,NA,NA,23250,NA,NA,NA,NA,For Rent,NA
354 Central Park W APT 5,New York,NY,10025,3900/000000,NA,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/354-Central-Park-W-APT-5-New-York-NY-10025/2120062051_zpid/
(Undisclosed Address),New York,NY,10025,7678/000000,NA,3.0,4.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/(Undisclosed-Address)-New-York-NY-10025/2115977445_zpid/
10 W 103rd St APT 1A,New York,NY,10025,2795/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/10-W-103rd-St-APT-1A-New-York-NY-10025/2092639960_zpid/
NA,NA,NA,NA,0175012300,NA,NA,NA,NA,For Rent,NA
306 W 105th St APT 2,New York,NY,10025,3550/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/306-W-105th-St-APT-2-New-York-NY-10025/2109297904_zpid/
NA,NA,NA,NA,0304213738,NA,NA,NA,NA,The Melar,NA
214 W 92nd St # 71B,New York,NY,10025,3195/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/214-W-92nd-St-71B-New-York-NY-10025/2091922701_zpid/
12 W 103rd St APT 4A,New York,NY,10025,2000/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/12-W-103rd-St-APT-4A-New-York-NY-10025/2092615417_zpid/
NA,NA,NA,NA,132252485045375,NA,NA,NA,NA,For Rent,NA
317 W 107th St APT B,New York,NY,10025,3350/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/317-W-107th-St-APT-B-New-York-NY-10025/2118323462_zpid/
NA,NA,NA,NA,02075,NA,NA,NA,NA,For Rent,NA
936 Amsterdam Ave # 11,New York,NY,10025,3500/000000,600.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/936-Amsterdam-Ave-11-New-York-NY-10025/2091948883_zpid/
53 W 106th St APT 5B,New York,NY,10025,2923/000000,1100.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/53-W-106th-St-APT-5B-New-York-NY-10025/2102254567_zpid/
NA,NA,NA,NA,0255924457,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,1305023567,NA,NA,NA,NA,For Rent,NA
107 W 106th St # 33A,New York,NY,10025,2499/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/107-W-106th-St-33A-New-York-NY-10025/2091961138_zpid/
56 W 106th St,New York,NY,10025,1795/000000,600.0,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/56-W-106th-St-New-York-NY-10025/2106942028_zpid/
NA,NA,NA,NA,1247022796,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,22795,NA,NA,NA,NA,For Rent,NA
62 W 106th St APT 7D,New York,NY,10025,4000/000000,850.0,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/62-W-106th-St-APT-7D-New-York-NY-10025/2099156005_zpid/
2647 Broadway APT 7S,New York,NY,10025,3315/000000,1000.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/2647-Broadway-APT-7S-New-York-NY-10025/2117958744_zpid/
NA,NA,NA,NA,12195,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,1330035225,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,36595,NA,NA,NA,NA,The Straus Park Condominium,NA
NA,NA,NA,NA,1257523200,NA,NA,NA,NA,For Rent,NA
151 W 95th St APT A,New York,NY,10025,3500/000000,1200.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/151-W-95th-St-APT-A-New-York-NY-10025/2108714693_zpid/
215 W 109th St APT 2F,New York,NY,10025,2775/000000,650.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/215-W-109th-St-APT-2F-New-York-NY-10025/2126939497_zpid/
W 93rd St,New York,NY,10025,6995/000000,NA,4.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/W-93rd-St-New-York-NY-10025/2092118104_zpid/
319 W 92nd St # F,New York,NY,10025,2200/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/319-W-92nd-St-F-New-York-NY-10025/2092125461_zpid/
221 W 105th St APT 4RE,New York,NY,10025,2350/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/221-W-105th-St-APT-4RE-New-York-NY-10025/2123699321_zpid/
808 W End Ave APT 703,New York,NY,10025,3100/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/808-W-End-Ave-APT-703-New-York-NY-10025/2093205416_zpid/
527 W 110th St APT 8,New York,NY,10025,3250/000000,770.0,2.0,1.5,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/527-W-110th-St-APT-8-New-York-NY-10025/31551272_zpid/
485 Central Park W APT 3C,New York,NY,10025,2350/000000,500.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/485-Central-Park-W-APT-3C-New-York-NY-10025/2111492532_zpid/
W 103rd St,New York,NY,10025,5954/000000,NA,6.0,3.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/W-103rd-St-New-York-NY-10025/2092247694_zpid/
70 W 93rd St # 702K,New York,NY,10025,6995/000000,NA,4.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/70-W-93rd-St-702K-New-York-NY-10025/2092269319_zpid/
W 103rd St,New York,NY,10025,3195/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/W-103rd-St-New-York-NY-10025/2093642166_zpid/
315 W 102nd St APT 7C,New York,NY,10025,3195/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/315-W-102nd-St-APT-7C-New-York-NY-10025/2116491263_zpid/
NA,NA,NA,NA,12195,NA,NA,NA,NA,For Rent,NA
NA,NA,NA,NA,12300,NA,NA,NA,NA,For Rent,NA
317 W 93rd St APT 1B,New York,NY,10025,4595/000000,NA,3.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/317-W-93rd-St-APT-1B-New-York-NY-10025/2092350864_zpid/
317 W 104th St APT BF,New York,NY,10025,1750/000000,NA,0.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/317-W-104th-St-APT-BF-New-York-NY-10025/2106916128_zpid/
229 W 97th St APT 7F,New York,NY,10025,3000/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/229-W-97th-St-APT-7F-New-York-NY-10025/2092383989_zpid/
817 W End Ave APT 4AA,New York,NY,10025,2450/000000,540.0,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/817-W-End-Ave-APT-4AA-New-York-NY-10025/89336108_zpid/
243 W 107th St APT 4E,New York,NY,10025,3250/000000,950.0,3.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/243-W-107th-St-APT-4E-New-York-NY-10025/2111604390_zpid/
805 Columbus Ave # 12D,New York,NY,10025,7240/000000,1032.0,2.0,2.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/805-Columbus-Ave-12D-New-York-NY-10025/2107140189_zpid/
W 97th St,New York,NY,10025,3758/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/W-97th-St-New-York-NY-10025/2093023528_zpid/
W End Ave,New York,NY,10025,4983/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/W-End-Ave-New-York-NY-10025/2092503080_zpid/
300 W 107th St APT 3C,New York,NY,10025,2350/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/300-W-107th-St-APT-3C-New-York-NY-10025/2098027007_zpid/
260 Riverside Dr APT 9F,New York,NY,10025,3150/000000,NA,1.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/260-Riverside-Dr-APT-9F-New-York-NY-10025/2102912561_zpid/
NA,NA,NA,NA,2375835114,NA,NA,NA,NA,50 West 97th Street,NA
NA,NA,NA,NA,2375835114,NA,NA,NA,NA,50 West 97th Street,NA
NA,NA,NA,NA,12450,NA,NA,NA,NA,For Rent,NA
395 Riverside Dr APT 8F,New York,NY,10025,4100/000000,1100.0,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/395-Riverside-Dr-APT-8F-New-York-NY-10025/2092621802_zpid/
251 W 92nd St APT 4E2,New York,NY,10025,3025/000000,NA,2.0,1.0,NA,Apartment For Rent,http://www.zillow.com/homes/for_sale//homedetails/251-W-92nd-St-APT-4E2-New-York-NY-10025/2118192896_zpid/
